OriginalNames,AccN,Species,file,OldSpecies
MZ753693 Halobates hayanus,MZ753693,Halobates_hayanus,large subunit ribosomal RNA,Halobates_hayanus
MZ753690 Halobates calyptus,MZ753690,Halobates_calyptus,large subunit ribosomal RNA,Halobates_calyptus
MZ753685 Halobates maculatus,MZ753685,Halobates_maculatus,large subunit ribosomal RNA,Halobates_maculatus
MZ753683 Halobates proavus,MZ753683,Halobates_proavus,large subunit ribosomal RNA,Halobates_proavus
KU366460 Halobates darwini,KU366460,Halobates_darwini,large subunit ribosomal RNA,Halobates_darwini
KU366456 Halobates alluaudi,KU366456,Halobates_alluaudi,large subunit ribosomal RNA,Halobates_alluaudi
KU366454 Halobates sobrinus,KU366454,Halobates_sobrinus,large subunit ribosomal RNA,Halobates_sobrinus
KU366451 Halobates mjobergi,KU366451,Halobates_mjobergi,large subunit ribosomal RNA,Halobates_mjobergi
KU366450 Halobates peronis,KU366450,Halobates_peronis,large subunit ribosomal RNA,Halobates_peronis
KU366449 Halobates sexualis,KU366449,Halobates_sexualis,large subunit ribosomal RNA,Halobates_sexualis
KU366448 Halobates japonicus,KU366448,Halobates_japonicus,large subunit ribosomal RNA,Halobates_japonicus
KU366447 Halobates mariannarum,KU366447,Halobates_mariannarum,large subunit ribosomal RNA,Halobates_mariannarum
KU366446 Halobates poseidon,KU366446,Halobates_poseidon,large subunit ribosomal RNA,Halobates_poseidon
KU366445 Halobates robustus,KU366445,Halobates_robustus,large subunit ribosomal RNA,Halobates_robustus
KU366444 Halobates katherinae,KU366444,Halobates_katherinae,large subunit ribosomal RNA,Halobates_katherinae
KU366443 Halobates fijiensis,KU366443,Halobates_fijiensis,large subunit ribosomal RNA,Halobates_fijiensis
KU366442 Halobates bryani,KU366442,Halobates_bryani,large subunit ribosomal RNA,Halobates_bryani
KU366441 Halobates nereis,KU366441,Halobates_nereis,large subunit ribosomal RNA,Halobates_nereis
KU366440 Halobates flaviventris,KU366440,Halobates_flaviventris,large subunit ribosomal RNA,Halobates_flaviventris
KU366438 Halobates germanus,KU366438,Halobates_germanus,large subunit ribosomal RNA,Halobates_germanus
KU366436 Halobates sericeus,KU366436,Halobates_sericeus,large subunit ribosomal RNA,Halobates_sericeus
KU366434 Halobates hawaiiensis,KU366434,Halobates_hawaiiensis,large subunit ribosomal RNA,Halobates_hawaiiensis
KU366433 Halobates micans,KU366433,Halobates_micans,large subunit ribosomal RNA,Halobates_micans
KU366431 Halobates splendens,KU366431,Halobates_splendens,large subunit ribosomal RNA,Halobates_splendens
KU366430 Halobates whiteleggei,KU366430,Halobates_whiteleggei,large subunit ribosomal RNA,Halobates_whiteleggei
KU366419 Halobates matsumurai,KU366419,Halobates_matsumurai,large subunit ribosomal RNA,Halobates_matsumurai
MZ043535 Halobates sobrinus,MZ043535,Halobates_sobrinus,cytochrome oxidase subunit I,Halobates_sobrinus
MZ043430 Halobates splendens,MZ043430,Halobates_splendens,cytochrome oxidase subunit I,Halobates_splendens
MZ043357 Halobates micans,MZ043357,Halobates_micans,cytochrome oxidase subunit I,Halobates_micans
MN690241 Halobates hayanus,MN690241,Halobates_hayanus,cytochrome oxidase subunit I,Halobates_hayanus
